C:\Users\Eon\miniforge3\envs\lmy12\python.exe C:\Users\Eon\PycharmProjects\DCDDPM\train.py
CUDA 可用，有 1 个 GPU 可用
device: cuda:0
Epoch [259/1000], Loss: 14.1342, Used: 4.8426s
Epoch [260/1000], Loss: 15.9916, Used: 4.8451s
Epoch [261/1000], Loss: 15.0566, Used: 4.8435s
Epoch [262/1000], Loss: 15.8168, Used: 4.8426s
Epoch [263/1000], Loss: 13.7266, Used: 4.8429s
Epoch [264/1000], Loss: 15.8382, Used: 4.8443s
Epoch [265/1000], Loss: 14.2612, Used: 4.8447s
Epoch [266/1000], Loss: 14.6154, Used: 4.8425s
Epoch [267/1000], Loss: 12.4177, Used: 4.8454s
Epoch [268/1000], Loss: 13.5269, Used: 4.8431s
Epoch [269/1000], Loss: 14.2311, Used: 4.8439s
Epoch [270/1000], Loss: 15.4659, Used: 4.8434s
Epoch [271/1000], Loss: 14.0332, Used: 4.8462s
Epoch [272/1000], Loss: 16.9375, Used: 4.8437s
Epoch [273/1000], Loss: 15.8378, Used: 4.8441s
Epoch [274/1000], Loss: 17.9742, Used: 4.8445s
Epoch [275/1000], Loss: 12.8742, Used: 4.8435s
Epoch [276/1000], Loss: 16.3483, Used: 4.8424s
Epoch [277/1000], Loss: 15.6792, Used: 4.8436s
Epoch [278/1000], Loss: 15.7610, Used: 4.8440s
Epoch [279/1000], Loss: 15.3588, Used: 4.8443s
Epoch [280/1000], Loss: 15.2406, Used: 4.8433s
Epoch [281/1000], Loss: 13.8646, Used: 4.8430s
Epoch [282/1000], Loss: 16.1292, Used: 4.8432s
Epoch [283/1000], Loss: 13.4595, Used: 4.8427s
Epoch [284/1000], Loss: 15.6617, Used: 4.8446s
Epoch [285/1000], Loss: 14.9955, Used: 4.8439s
Epoch [286/1000], Loss: 14.3855, Used: 4.8439s
Epoch [287/1000], Loss: 13.7388, Used: 4.8430s
Epoch [288/1000], Loss: 15.8388, Used: 4.8435s
Epoch [289/1000], Loss: 15.4136, Used: 4.8451s
Epoch [290/1000], Loss: 13.4478, Used: 4.8453s
Epoch [291/1000], Loss: 14.1228, Used: 4.8446s
Epoch [292/1000], Loss: 12.7284, Used: 4.8462s
Epoch [293/1000], Loss: 13.8236, Used: 4.8420s
Epoch [294/1000], Loss: 14.7836, Used: 4.8434s
Epoch [295/1000], Loss: 16.2685, Used: 4.8439s
Epoch [296/1000], Loss: 13.1427, Used: 4.8439s
Epoch [297/1000], Loss: 13.4005, Used: 4.8456s
Epoch [298/1000], Loss: 14.0748, Used: 4.8430s
Epoch [299/1000], Loss: 15.0437, Used: 4.8424s
Epoch [300/1000], Loss: 11.4658, Used: 4.8414s
Epoch [301/1000], Loss: 13.6469, Used: 4.8432s
Epoch [302/1000], Loss: 12.7654, Used: 4.8443s
Epoch [303/1000], Loss: 12.8498, Used: 4.8427s
Epoch [304/1000], Loss: 14.8811, Used: 4.8451s
Epoch [305/1000], Loss: 13.0609, Used: 4.8437s
Epoch [306/1000], Loss: 15.9253, Used: 4.8420s
Epoch [307/1000], Loss: 14.4887, Used: 4.8423s
Epoch [308/1000], Loss: 16.3120, Used: 4.8419s
Epoch [309/1000], Loss: 14.1274, Used: 4.8551s
Epoch [310/1000], Loss: 13.2821, Used: 4.8433s
Epoch [311/1000], Loss: 13.5985, Used: 4.8428s
Epoch [312/1000], Loss: 12.6281, Used: 4.8420s
Epoch [313/1000], Loss: 12.2764, Used: 4.8430s
Epoch [314/1000], Loss: 13.0143, Used: 4.8519s
Epoch [315/1000], Loss: 13.0972, Used: 4.8444s
Epoch [316/1000], Loss: 13.5245, Used: 4.8435s
Epoch [317/1000], Loss: 15.2939, Used: 4.8409s
Epoch [318/1000], Loss: 14.2831, Used: 4.8452s
Epoch [319/1000], Loss: 12.4896, Used: 4.8454s
Epoch [320/1000], Loss: 12.2678, Used: 4.8430s
Epoch [321/1000], Loss: 12.9630, Used: 4.8440s
Epoch [322/1000], Loss: 14.1369, Used: 4.8437s
Epoch [323/1000], Loss: 13.2461, Used: 4.8443s
Epoch [324/1000], Loss: 14.8283, Used: 4.8446s
Epoch [325/1000], Loss: 16.5397, Used: 4.8446s
Epoch [326/1000], Loss: 14.0722, Used: 4.8444s
Epoch [327/1000], Loss: 13.1022, Used: 4.8436s
Epoch [328/1000], Loss: 12.3872, Used: 4.8450s
Epoch [329/1000], Loss: 10.7324, Used: 4.8436s
Epoch [330/1000], Loss: 10.9777, Used: 4.8431s
Epoch [331/1000], Loss: 11.4873, Used: 4.8440s
Epoch [332/1000], Loss: 12.1648, Used: 4.8437s
Epoch [333/1000], Loss: 12.8588, Used: 4.8452s
Epoch [334/1000], Loss: 11.9174, Used: 4.8431s
Epoch [335/1000], Loss: 12.9972, Used: 4.8438s
Epoch [336/1000], Loss: 13.6061, Used: 4.8433s
Epoch [337/1000], Loss: 15.0589, Used: 4.8428s
Epoch [338/1000], Loss: 16.4309, Used: 4.8413s
Epoch [339/1000], Loss: 11.8130, Used: 4.8427s
Epoch [340/1000], Loss: 12.3315, Used: 4.8432s
Epoch [341/1000], Loss: 14.7677, Used: 4.8433s
Epoch [342/1000], Loss: 11.6016, Used: 4.8443s
Epoch [343/1000], Loss: 12.8818, Used: 4.8426s
Epoch [344/1000], Loss: 12.9087, Used: 4.8444s
Epoch [345/1000], Loss: 14.1952, Used: 4.8432s
Epoch [346/1000], Loss: 13.6551, Used: 4.8451s
Epoch [347/1000], Loss: 12.8333, Used: 4.8428s
Epoch [348/1000], Loss: 11.6072, Used: 4.8421s
Epoch [349/1000], Loss: 12.5516, Used: 4.8433s
Epoch [350/1000], Loss: 12.3277, Used: 4.8437s
Epoch [351/1000], Loss: 13.1151, Used: 4.8445s
Epoch [352/1000], Loss: 12.9504, Used: 4.8430s
Epoch [353/1000], Loss: 13.8383, Used: 4.8430s
Epoch [354/1000], Loss: 12.8600, Used: 4.8421s
Epoch [355/1000], Loss: 11.8059, Used: 4.8430s
Epoch [356/1000], Loss: 13.5835, Used: 4.8431s
Epoch [357/1000], Loss: 11.2331, Used: 4.8436s
Epoch [358/1000], Loss: 13.8148, Used: 4.8427s
Epoch [359/1000], Loss: 12.3648, Used: 4.8445s
Epoch [360/1000], Loss: 12.5105, Used: 4.8437s
Epoch [361/1000], Loss: 12.7386, Used: 4.8443s
Epoch [362/1000], Loss: 13.4858, Used: 4.8452s
Epoch [363/1000], Loss: 11.3710, Used: 4.8455s
Epoch [364/1000], Loss: 14.5818, Used: 4.8447s
Epoch [365/1000], Loss: 12.3699, Used: 4.8430s
Epoch [366/1000], Loss: 12.6378, Used: 4.8435s
Epoch [367/1000], Loss: 10.8436, Used: 4.8430s
Epoch [368/1000], Loss: 13.2687, Used: 4.8449s
Epoch [369/1000], Loss: 13.2062, Used: 4.8430s
Epoch [370/1000], Loss: 51.6487, Used: 4.8446s
Epoch [371/1000], Loss: 29.0710, Used: 4.8438s
